property_title,availability_number,promotion_label,property_type,bedrooms,bathrooms,furnish_type,apart_size,rating,city,capacity,price,currency,date,month,day,year,quarter,rental_period
Warm and Simply Look Studio Apartment Tokyo Riverside PIK 2 By Travelio,1.0,GOOD DEAL,Apartment,Studio,1,Full Furnished,21 sqm,New,PIK 2,2.0,2600000,IDR,2025-01-16,1,16,2025,1,monthly
Cozy Stay Studio at Kebagusan City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,24 sqm,5.0,Kebagusan,2.0,3690000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished 3BR Apartment with AC at Veranda Residence Puri By Travelio,1.0,tidak ada promo,Apartment,3,1,Unfurnished,113 sqm,0,Kembangan,0.0,14300000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Pejompongan,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,21 sqm,0,Bendungan Hilir,0.0,4500000,IDR,2025-01-16,1,16,2025,1,monthly
Homey and Fully Furnished Studio at Green Bay Pluit Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,21 sqm,New,Pluit,2.0,3890000,IDR,2025-01-16,1,16,2025,1,monthly
Good Place 2BR Apartment Woodland Park Residence By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,50 sqm,5.0,Kalibata,3.0,7890000,IDR,2025-01-16,1,16,2025,1,monthly
New Comfy Studio Apartment at Tokyo Riverside By Travelio,1.0,NEW UNIT,Apartment,Studio,1,Full Furnished,21 sqm,New,PIK 2,2.0,3090000,IDR,2025-01-16,1,16,2025,1,monthly
Unfurnished Studio with AC at 16th Floor Kalibata City Apartment By Travelio,1.0,New,Apartment,1,1,Unfurnished,16 sqm,0,Kalibata,0.0,2390000,IDR,2025-01-16,1,16,2025,1,monthly
Modern Look 2BR with Bunk Bed Apartment at Sentra Timur Residence By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,28 sqm,New,Pulo Gebang,4.0,3200000,IDR,2025-01-16,1,16,2025,1,monthly
Good and Homey Studio at Green Pramuka City Apartment By Travelio,1.0,New,Apartment,Studio,1,Full Furnished,21 sqm,New,Cempaka Putih,2.0,4500000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Tondano,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,21 sqm,0,Tanah Abang,0.0,4500000,IDR,2025-01-16,1,16,2025,1,monthly
Scenic 2BR with City View at Bassura City Apartment By Travelio,1.0,tidak ada promo,Apartment,2,1,Full Furnished,39 sqm,5.0,Cipinang,3.0,5003700,IDR,2025-01-16,1,16,2025,1,monthly
Cozy and Simply Look Studio Tokyo Riverside PIK 2 Apartment By Travelio,1.0,Flash Sale,Apartment,Studio,1,Full Furnished,21 sqm,5.0,PIK 2,2.0,2711500,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Poso - Senayan,1.0,Diskon hingga 5%,Hotel,Studio,1,Full Furnished,21 sqm,0,Senayan,0.0,4500000,IDR,2025-01-16,1,16,2025,1,monthly
